"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.7057,-0.3249,1.0632,35.375,672.03,0,0,0,0
-0.70566,-0.32621,1.0653,36.966,675.65,0,0,0,0
-0.70592,-0.32388,1.0567,16.146,646.45,0,0,0,0
-0.70581,-0.32383,1.0595,24.739,659.21,0,0,0,0
-0.70657,-0.33465,1.0502,-29.125,626.58,0,0,0,0
-0.70653,-0.33397,1.0506,-22.972,631.04,0,0,0,0
-0.70647,-0.33128,1.0497,-21.943,621.91,0,0,0,0
-0.70575,-0.32011,1.0577,28.307,639.42,0,0,0,0
-0.70568,-0.32107,1.0601,32.339,654.64,0,0,0,0
-0.70587,-0.32163,1.056,18.151,633.12,0,0,0,0
-0.70607,-0.32258,1.052,1.3969,609.3,0,0,0,0
-0.70594,-0.32104,1.0538,11.089,613.74,0,0,0,0
-0.70572,-0.33694,1.074,30.085,684.29,0,0,0,0
-0.70567,-0.33413,1.0726,33.717,683.6,0,0,0,0
-0.70549,-0.32644,1.0699,51.055,675.78,0,0,0,0
-0.70558,-0.32899,1.0701,43.74,679.39,0,0,0,0
-0.70554,-0.32507,1.0673,48.653,673.93,0,0,0,0
-0.70566,-0.32086,1.0605,41.17,658.92,0,0,0,0
-0.70558,-0.32215,1.0635,43.351,667.28,0,0,0,0
-0.70847,-0.40583,1.0673,-64.777,595.79,0,0,0,0
-0.7086,-0.40838,1.0662,-66.527,591.45,0,0,0,0
-0.7087,-0.40918,1.0641,-69.488,588.18,0,0,0,0
-0.70875,-0.40792,1.0616,-71.988,588.32,0,0,0,0
-0.70864,-0.40446,1.0612,-71.482,592.27,0,0,0,0
-0.7085,-0.40274,1.0634,-68.012,596.97,0,0,0,0
-0.70843,-0.40326,1.0658,-65.125,598.23,0,0,0,0
-0.70892,-0.40991,1.0588,-75.614,583.82,0,0,0,0
-0.709,-0.4088,1.0557,-79.157,582.32,0,0,0,0
-0.70838,-0.3987,1.0627,-67.411,601.1,0,0,0,0
-0.70902,-0.4133,1.0593,-75.977,580.38,0,0,0,0
-0.70918,-0.41531,1.057,-79.327,576.4,0,0,0,0
-0.70927,-0.41454,1.0539,-83.075,574.68,0,0,0,0
-0.70917,-0.411,1.0532,-83.079,577.3,0,0,0,0
-0.70926,-0.40995,1.0497,-87.452,573.81,0,0,0,0
-0.70916,-0.40647,1.0491,-87.291,576,0,0,0,0
-0.70883,-0.41278,1.0641,-70.254,584.22,0,0,0,0
-0.70896,-0.41418,1.0619,-73.098,580.86,0,0,0,0
-0.70905,-0.41728,1.0625,-73.493,577.81,0,0,0,0
-0.70919,-0.41909,1.0604,-76.416,574.57,0,0,0,0
-0.70926,-0.41858,1.0579,-79.453,573.62,0,0,0,0
-0.70943,-0.41673,1.0517,-86.944,569.95,0,0,0,0
-0.70953,-0.41611,1.0482,-91.606,565.94,0,0,0,0
-0.70943,-0.41216,1.0473,-92.01,567.28,0,0,0,0
-0.70942,-0.42082,1.0559,-82.815,569.85,0,0,0,0
-0.70952,-0.42041,1.0529,-86.682,567.83,0,0,0,0
-0.70826,-0.401,1.0681,-62.244,602.86,0,0,0,0
-0.70824,-0.39713,1.0651,-63.9,605.75,0,0,0,0
-0.70819,-0.39807,1.0674,-61.594,606.28,0,0,0,0
-0.70812,-0.39364,1.065,-62.487,610.11,0,0,0,0
-0.70786,-0.38941,1.068,-56.535,619.12,0,0,0,0
-0.70798,-0.39247,1.0675,-58.842,614.47,0,0,0,0
-0.70787,-0.38743,1.0658,-57.677,619.74,0,0,0,0
-0.70894,-0.39954,1.0486,-87.116,579.2,0,0,0,0
-0.70891,-0.39659,1.0467,-88.81,577.21,0,0,0,0
-0.7088,-0.39408,1.0471,-86.638,580.2,0,0,0,0
-0.70923,-0.40529,1.0461,-91.959,570.55,0,0,0,0
-0.70915,-0.40247,1.0456,-91.546,572.22,0,0,0,0
-0.70884,-0.39217,1.0443,-90.703,574.11,0,0,0,0
-0.70874,-0.38901,1.0439,-89.583,574.76,0,0,0,0
-0.70773,-0.39031,1.0723,-52.21,622.2,0,0,0,0
-0.70784,-0.39289,1.0719,-54.316,618.03,0,0,0,0
-0.70795,-0.39381,1.0696,-57.321,614.27,0,0,0,0
-0.70774,-0.3887,1.0706,-52.953,623.01,0,0,0,0
-0.70761,-0.38604,1.0714,-49.991,627.85,0,0,0,0
-0.70772,-0.38432,1.0667,-54.294,625.12,0,0,0,0
-0.70759,-0.38397,1.0698,-50.31,629.17,0,0,0,0
-0.70747,-0.3817,1.0709,-46.816,634.2,0,0,0,0
-0.70829,-0.37714,1.0448,-82.319,584.95,0,0,0,0
-0.70823,-0.37408,1.0435,-83.338,582.95,0,0,0,0
-0.70855,-0.38251,1.0429,-88.38,574.94,0,0,0,0
-0.70847,-0.37962,1.0423,-88.009,575.35,0,0,0,0
-0.70879,-0.38833,1.0418,-94.241,567.86,0,0,0,0
-0.70877,-0.38656,1.0407,-95.684,565.15,0,0,0,0
-0.70867,-0.38389,1.041,-93.994,566.43,0,0,0,0
-0.70953,-0.41114,1.0434,-97.634,560.44,0,0,0,0
-0.70942,-0.40754,1.0429,-97.468,561.94,0,0,0,0
-0.70901,-0.39391,1.0412,-96.4,566.64,0,0,0,0
-0.70903,-0.39261,1.0393,-100.83,560.65,0,0,0,0
-0.70897,-0.39063,1.0391,-99.676,561.35,0,0,0,0
-0.70849,-0.40979,1.0705,-62.584,593.39,0,0,0,0
-0.70858,-0.41035,1.0686,-64.951,590.56,0,0,0,0
-0.70837,-0.40572,1.0698,-62.116,598.18,0,0,0,0
-0.70839,-0.40758,1.0713,-61.401,596.93,0,0,0,0
-0.70802,-0.39747,1.0715,-56.98,610.92,0,0,0,0
-0.70809,-0.39984,1.072,-57.717,608.04,0,0,0,0
-0.70821,-0.40148,1.0702,-60.033,604.24,0,0,0,0
-0.70805,-0.39664,1.0697,-58.688,610.41,0,0,0,0
-0.70825,-0.40365,1.0711,-60.135,602.05,0,0,0,0
-0.70782,-0.39403,1.0735,-53.22,617.9,0,0,0,0
-0.70791,-0.39637,1.0734,-54.552,614.55,0,0,0,0
-0.70698,-0.37391,1.0765,-32.35,653.23,0,0,0,0
-0.70703,-0.3762,1.0774,-33.812,650.99,0,0,0,0
-0.70715,-0.37834,1.0764,-36.917,646.42,0,0,0,0
-0.70721,-0.3787,1.075,-40.1,642.56,0,0,0,0
-0.70583,-0.35496,1.0887,14.614,700.09,0,0,0,0
-0.70598,-0.35576,1.0854,6.8323,693.11,0,0,0,0
-0.70599,-0.35352,1.083,7.3507,689.2,0,0,0,0
-0.70582,-0.35003,1.0839,18.349,691.38,0,0,0,0
-0.70567,-0.34929,1.087,27.437,697.79,0,0,0,0
-0.7057,-0.35237,1.0896,24.581,702.58,0,0,0,0
-0.706,-0.35995,1.0894,5.0003,698.42,0,0,0,0
